gene,drugGene,value
LYN,ETOPOSIDE,14.0
HRAS,ETOPOSIDE,16.0
UGT1A1,ETOPOSIDE,16.0
TUBA3E,ETOPOSIDE,16.0
TUBA3D,ETOPOSIDE,16.0
TUBA1C,ETOPOSIDE,16.0
TUBA1B,ETOPOSIDE,16.0
TUBA1A,ETOPOSIDE,16.0
SRC,ETOPOSIDE,16.0
TUBB8,ETOPOSIDE,16.0
TUBB6,ETOPOSIDE,16.0
TUBA4A,ETOPOSIDE,16.0
TUBB2A,ETOPOSIDE,16.0
TUBB2B,ETOPOSIDE,16.0
TUBB4B,ETOPOSIDE,16.0
TUBB3,ETOPOSIDE,18.0
YES1,ETOPOSIDE,18.0
AKT1,ETOPOSIDE,22.0
TUBB1,ETOPOSIDE,22.0
MET,ETOPOSIDE,28.0
PTEN,ETOPOSIDE,38.0
TYMS,ETOPOSIDE,42.0
PIK3CA,ETOPOSIDE,50.0
KRAS,ETOPOSIDE,58.0
ACTB,AMSACRINE,2.0
PRKD3,AMSACRINE,2.0
AKT2,AMSACRINE,4.0
UGT1A4,AMSACRINE,4.0
UGT1A5,AMSACRINE,4.0
SFTPA1,AMSACRINE,4.0
PTPRC,AMSACRINE,4.0
TSC1,AMSACRINE,4.0
PIK3CB,AMSACRINE,4.0
BTK,AMSACRINE,4.0
LIMK1,AMSACRINE,6.0
UGT1A8,AMSACRINE,6.0
UGT1A6,AMSACRINE,6.0
PIK3R2,AMSACRINE,6.0
ATXN2,AMSACRINE,6.0
FYN,AMSACRINE,8.0
ATP7A,AMSACRINE,8.0
NQO1,AMSACRINE,10.0
PIK3CG,AMSACRINE,10.0
JAK2,AMSACRINE,10.0
LCK,AMSACRINE,10.0
TUBA3C,AMSACRINE,12.0
NRAS,AMSACRINE,12.0
MTOR,AMSACRINE,12.0
TUBB4A,AMSACRINE,12.0
LYN,AMSACRINE,14.0
HRAS,AMSACRINE,16.0
UGT1A1,AMSACRINE,16.0
TUBA3E,AMSACRINE,16.0
TUBA3D,AMSACRINE,16.0
TUBA1C,AMSACRINE,16.0
TUBA1B,AMSACRINE,16.0
TUBA1A,AMSACRINE,16.0
SRC,AMSACRINE,16.0
TUBB8,AMSACRINE,16.0
TUBB6,AMSACRINE,16.0
TUBA4A,AMSACRINE,16.0
TUBB2A,AMSACRINE,16.0
TUBB2B,AMSACRINE,16.0
TUBB4B,AMSACRINE,16.0
TUBB3,AMSACRINE,18.0
YES1,AMSACRINE,18.0
AKT1,AMSACRINE,22.0
TUBB1,AMSACRINE,22.0
MET,AMSACRINE,28.0
PTEN,AMSACRINE,38.0
TYMS,AMSACRINE,42.0
PIK3CA,AMSACRINE,50.0
KRAS,AMSACRINE,58.0
ACTB,AZATHIOPRINE,2.0
PRKD3,AZATHIOPRINE,2.0
AKT2,AZATHIOPRINE,4.0
UGT1A4,AZATHIOPRINE,4.0
UGT1A5,AZATHIOPRINE,4.0
SFTPA1,AZATHIOPRINE,4.0
PTPRC,AZATHIOPRINE,4.0
TSC1,AZATHIOPRINE,4.0
PIK3CB,AZATHIOPRINE,4.0
BTK,AZATHIOPRINE,4.0
LIMK1,AZATHIOPRINE,6.0
UGT1A8,AZATHIOPRINE,6.0
UGT1A6,AZATHIOPRINE,6.0
PIK3R2,AZATHIOPRINE,6.0
ATXN2,AZATHIOPRINE,6.0
FYN,AZATHIOPRINE,8.0
ATP7A,AZATHIOPRINE,8.0
NQO1,AZATHIOPRINE,10.0
PIK3CG,AZATHIOPRINE,10.0
JAK2,AZATHIOPRINE,10.0
LCK,AZATHIOPRINE,10.0
TUBA3C,AZATHIOPRINE,12.0
NRAS,AZATHIOPRINE,12.0
MTOR,AZATHIOPRINE,12.0
TUBB4A,AZATHIOPRINE,12.0
LYN,AZATHIOPRINE,14.0
HRAS,AZATHIOPRINE,16.0
UGT1A1,AZATHIOPRINE,16.0
TUBA3E,AZATHIOPRINE,16.0
TUBA3D,AZATHIOPRINE,16.0
TUBA1C,AZATHIOPRINE,16.0
TUBA1B,AZATHIOPRINE,16.0
TUBA1A,AZATHIOPRINE,16.0
SRC,AZATHIOPRINE,16.0
TUBB8,AZATHIOPRINE,16.0
TUBB6,AZATHIOPRINE,16.0
TUBA4A,AZATHIOPRINE,16.0
TUBB2A,AZATHIOPRINE,16.0
TUBB2B,AZATHIOPRINE,16.0
TUBB4B,AZATHIOPRINE,16.0
TUBB3,AZATHIOPRINE,18.0
YES1,AZATHIOPRINE,18.0
AKT1,AZATHIOPRINE,22.0
TUBB1,AZATHIOPRINE,22.0
MET,AZATHIOPRINE,28.0
PTEN,AZATHIOPRINE,38.0
TYMS,AZATHIOPRINE,42.0
PIK3CA,AZATHIOPRINE,50.0
KRAS,AZATHIOPRINE,58.0
ACTB,IDARUBICIN,2.0
PRKD3,IDARUBICIN,2.0
AKT2,IDARUBICIN,4.0
UGT1A4,IDARUBICIN,4.0
UGT1A5,IDARUBICIN,4.0
SFTPA1,IDARUBICIN,4.0
PTPRC,IDARUBICIN,4.0
TSC1,IDARUBICIN,4.0
PIK3CB,IDARUBICIN,4.0
BTK,IDARUBICIN,4.0
LIMK1,IDARUBICIN,6.0
UGT1A8,IDARUBICIN,6.0
UGT1A6,IDARUBICIN,6.0
PIK3R2,IDARUBICIN,6.0
ATXN2,IDARUBICIN,6.0
FYN,IDARUBICIN,8.0
ATP7A,IDARUBICIN,8.0
NQO1,IDARUBICIN,10.0
PIK3CG,IDARUBICIN,10.0
JAK2,IDARUBICIN,10.0
LCK,IDARUBICIN,10.0
TUBA3C,IDARUBICIN,12.0
NRAS,IDARUBICIN,12.0
MTOR,IDARUBICIN,12.0
TUBB4A,IDARUBICIN,12.0
LYN,IDARUBICIN,14.0
HRAS,IDARUBICIN,16.0
UGT1A1,IDARUBICIN,16.0
TUBA3E,IDARUBICIN,16.0
TUBA3D,IDARUBICIN,16.0
TUBA1C,IDARUBICIN,16.0
TUBA1B,IDARUBICIN,16.0
TUBA1A,IDARUBICIN,16.0
SRC,IDARUBICIN,16.0
TUBB8,IDARUBICIN,16.0
TUBB6,IDARUBICIN,16.0
TUBA4A,IDARUBICIN,16.0
TUBB2A,IDARUBICIN,16.0
TUBB2B,IDARUBICIN,16.0
TUBB4B,IDARUBICIN,16.0
TUBB3,IDARUBICIN,18.0
YES1,IDARUBICIN,18.0
AKT1,IDARUBICIN,22.0
TUBB1,IDARUBICIN,22.0
MET,IDARUBICIN,28.0
PTEN,IDARUBICIN,38.0
TYMS,IDARUBICIN,42.0
PIK3CA,IDARUBICIN,50.0
KRAS,IDARUBICIN,58.0
ACTB,FLOXURIDINE,3.0
PRKD3,FLOXURIDINE,3.0
AKT2,FLOXURIDINE,6.0
UGT1A4,FLOXURIDINE,6.0
UGT1A5,FLOXURIDINE,6.0
SFTPA1,FLOXURIDINE,6.0
PTPRC,FLOXURIDINE,6.0
TSC1,FLOXURIDINE,6.0
PIK3CB,FLOXURIDINE,6.0
BTK,FLOXURIDINE,6.0
LIMK1,FLOXURIDINE,9.0
UGT1A8,FLOXURIDINE,9.0
UGT1A6,FLOXURIDINE,9.0
PIK3R2,FLOXURIDINE,9.0
ATXN2,FLOXURIDINE,9.0
FYN,FLOXURIDINE,12.0
ATP7A,FLOXURIDINE,12.0
NQO1,FLOXURIDINE,15.0
PIK3CG,FLOXURIDINE,15.0
JAK2,FLOXURIDINE,15.0
LCK,FLOXURIDINE,15.0
TUBA3C,FLOXURIDINE,18.0
NRAS,FLOXURIDINE,18.0
MTOR,FLOXURIDINE,18.0
TUBB4A,FLOXURIDINE,18.0
LYN,FLOXURIDINE,21.0
HRAS,FLOXURIDINE,24.0
UGT1A1,FLOXURIDINE,24.0
TUBA3E,FLOXURIDINE,24.0
TUBA3D,FLOXURIDINE,24.0
TUBA1C,FLOXURIDINE,24.0
TUBA1B,FLOXURIDINE,24.0
TUBA1A,FLOXURIDINE,24.0
SRC,FLOXURIDINE,24.0
TUBB8,FLOXURIDINE,24.0
TUBB6,FLOXURIDINE,24.0
TUBA4A,FLOXURIDINE,24.0
TUBB2A,FLOXURIDINE,24.0
TUBB2B,FLOXURIDINE,24.0
TUBB4B,FLOXURIDINE,24.0
TUBB3,FLOXURIDINE,27.0
YES1,FLOXURIDINE,27.0
AKT1,FLOXURIDINE,33.0
TUBB1,FLOXURIDINE,33.0
MET,FLOXURIDINE,42.0
PTEN,FLOXURIDINE,57.0
TYMS,FLOXURIDINE,63.0
PIK3CA,FLOXURIDINE,75.0
KRAS,FLOXURIDINE,87.0
ACTB,MITOXANTRONE,3.0
PRKD3,MITOXANTRONE,3.0
AKT2,MITOXANTRONE,6.0
UGT1A4,MITOXANTRONE,6.0
UGT1A5,MITOXANTRONE,6.0
SFTPA1,MITOXANTRONE,6.0
PTPRC,MITOXANTRONE,6.0
TSC1,MITOXANTRONE,6.0
PIK3CB,MITOXANTRONE,6.0
BTK,MITOXANTRONE,6.0
LIMK1,MITOXANTRONE,9.0
UGT1A8,MITOXANTRONE,9.0
UGT1A6,MITOXANTRONE,9.0
PIK3R2,MITOXANTRONE,9.0
ATXN2,MITOXANTRONE,9.0
FYN,MITOXANTRONE,12.0
ATP7A,MITOXANTRONE,12.0
NQO1,MITOXANTRONE,15.0
PIK3CG,MITOXANTRONE,15.0
JAK2,MITOXANTRONE,15.0
LCK,MITOXANTRONE,15.0
TUBA3C,MITOXANTRONE,18.0
NRAS,MITOXANTRONE,18.0
MTOR,MITOXANTRONE,18.0
TUBB4A,MITOXANTRONE,18.0
LYN,MITOXANTRONE,21.0
HRAS,MITOXANTRONE,24.0
UGT1A1,MITOXANTRONE,24.0
TUBA3E,MITOXANTRONE,24.0
TUBA3D,MITOXANTRONE,24.0
TUBA1C,MITOXANTRONE,24.0
TUBA1B,MITOXANTRONE,24.0
TUBA1A,MITOXANTRONE,24.0
SRC,MITOXANTRONE,24.0
TUBB8,MITOXANTRONE,24.0
TUBB6,MITOXANTRONE,24.0
TUBA4A,MITOXANTRONE,24.0
TUBB2A,MITOXANTRONE,24.0
TUBB2B,MITOXANTRONE,24.0
TUBB4B,MITOXANTRONE,24.0
TUBB3,MITOXANTRONE,27.0
YES1,MITOXANTRONE,27.0
AKT1,MITOXANTRONE,33.0
TUBB1,MITOXANTRONE,33.0
MET,MITOXANTRONE,42.0
PTEN,MITOXANTRONE,57.0
TYMS,MITOXANTRONE,63.0
PIK3CA,MITOXANTRONE,75.0
KRAS,MITOXANTRONE,87.0
ACTB,SUNITINIB,3.0
PRKD3,SUNITINIB,3.0
AKT2,SUNITINIB,6.0
UGT1A4,SUNITINIB,6.0
UGT1A5,SUNITINIB,6.0
SFTPA1,SUNITINIB,6.0
PTPRC,SUNITINIB,6.0
TSC1,SUNITINIB,6.0
PIK3CB,SUNITINIB,6.0
BTK,SUNITINIB,6.0
LIMK1,SUNITINIB,9.0
UGT1A8,SUNITINIB,9.0
UGT1A6,SUNITINIB,9.0
PIK3R2,SUNITINIB,9.0
ATXN2,SUNITINIB,9.0
FYN,SUNITINIB,12.0
ATP7A,SUNITINIB,12.0
NQO1,SUNITINIB,15.0
PIK3CG,SUNITINIB,15.0
JAK2,SUNITINIB,15.0
LCK,SUNITINIB,15.0
TUBA3C,SUNITINIB,18.0
NRAS,SUNITINIB,18.0
MTOR,SUNITINIB,18.0
TUBB4A,SUNITINIB,18.0
LYN,SUNITINIB,21.0
HRAS,SUNITINIB,24.0
UGT1A1,SUNITINIB,24.0
TUBA3E,SUNITINIB,24.0
TUBA3D,SUNITINIB,24.0
TUBA1C,SUNITINIB,24.0
TUBA1B,SUNITINIB,24.0
TUBA1A,SUNITINIB,24.0
SRC,SUNITINIB,24.0
TUBB8,SUNITINIB,24.0
TUBB6,SUNITINIB,24.0
TUBA4A,SUNITINIB,24.0
TUBB2A,SUNITINIB,24.0
TUBB2B,SUNITINIB,24.0
TUBB4B,SUNITINIB,24.0
TUBB3,SUNITINIB,27.0
YES1,SUNITINIB,27.0
AKT1,SUNITINIB,33.0
TUBB1,SUNITINIB,33.0
MET,SUNITINIB,42.0
PTEN,SUNITINIB,57.0
TYMS,SUNITINIB,63.0
PIK3CA,SUNITINIB,75.0
KRAS,SUNITINIB,87.0
ACTB,NILOTINIB,3.0
PRKD3,NILOTINIB,3.0
AKT2,NILOTINIB,6.0
UGT1A4,NILOTINIB,6.0
UGT1A5,NILOTINIB,6.0
SFTPA1,NILOTINIB,6.0
PTPRC,NILOTINIB,6.0
TSC1,NILOTINIB,6.0
PIK3CB,NILOTINIB,6.0
BTK,NILOTINIB,6.0
LIMK1,NILOTINIB,9.0
UGT1A8,NILOTINIB,9.0
UGT1A6,NILOTINIB,9.0
PIK3R2,NILOTINIB,9.0
ATXN2,NILOTINIB,9.0
FYN,NILOTINIB,12.0
ATP7A,NILOTINIB,12.0
NQO1,NILOTINIB,15.0
PIK3CG,NILOTINIB,15.0
JAK2,NILOTINIB,15.0
LCK,NILOTINIB,15.0
TUBA3C,NILOTINIB,18.0
NRAS,NILOTINIB,18.0
MTOR,NILOTINIB,18.0
TUBB4A,NILOTINIB,18.0
LYN,NILOTINIB,21.0
HRAS,NILOTINIB,24.0
UGT1A1,NILOTINIB,24.0
TUBA3E,NILOTINIB,24.0
TUBA3D,NILOTINIB,24.0
TUBA1C,NILOTINIB,24.0
TUBA1B,NILOTINIB,24.0
TUBA1A,NILOTINIB,24.0
SRC,NILOTINIB,24.0
TUBB8,NILOTINIB,24.0
TUBB6,NILOTINIB,24.0
TUBA4A,NILOTINIB,24.0
TUBB2A,NILOTINIB,24.0
TUBB2B,NILOTINIB,24.0
TUBB4B,NILOTINIB,24.0
TUBB3,NILOTINIB,27.0
YES1,NILOTINIB,27.0
AKT1,NILOTINIB,33.0
TUBB1,NILOTINIB,33.0
MET,NILOTINIB,42.0
PTEN,NILOTINIB,57.0
TYMS,NILOTINIB,63.0
PIK3CA,NILOTINIB,75.0
KRAS,NILOTINIB,87.0
ACTB,CYCLOPHOSPHAMIDE,3.0
PRKD3,CYCLOPHOSPHAMIDE,3.0
AKT2,CYCLOPHOSPHAMIDE,6.0
UGT1A4,CYCLOPHOSPHAMIDE,6.0
UGT1A5,CYCLOPHOSPHAMIDE,6.0
SFTPA1,CYCLOPHOSPHAMIDE,6.0
PTPRC,CYCLOPHOSPHAMIDE,6.0
TSC1,CYCLOPHOSPHAMIDE,6.0
PIK3CB,CYCLOPHOSPHAMIDE,6.0
BTK,CYCLOPHOSPHAMIDE,6.0
LIMK1,CYCLOPHOSPHAMIDE,9.0
UGT1A8,CYCLOPHOSPHAMIDE,9.0
UGT1A6,CYCLOPHOSPHAMIDE,9.0
PIK3R2,CYCLOPHOSPHAMIDE,9.0
ATXN2,CYCLOPHOSPHAMIDE,9.0
FYN,CYCLOPHOSPHAMIDE,12.0
ATP7A,CYCLOPHOSPHAMIDE,12.0
NQO1,CYCLOPHOSPHAMIDE,15.0
PIK3CG,CYCLOPHOSPHAMIDE,15.0
JAK2,CYCLOPHOSPHAMIDE,15.0
LCK,CYCLOPHOSPHAMIDE,15.0
TUBA3C,CYCLOPHOSPHAMIDE,18.0
NRAS,CYCLOPHOSPHAMIDE,18.0
MTOR,CYCLOPHOSPHAMIDE,18.0
TUBB4A,CYCLOPHOSPHAMIDE,18.0
LYN,CYCLOPHOSPHAMIDE,21.0
HRAS,CYCLOPHOSPHAMIDE,24.0
UGT1A1,CYCLOPHOSPHAMIDE,24.0
TUBA3E,CYCLOPHOSPHAMIDE,24.0
TUBA3D,CYCLOPHOSPHAMIDE,24.0
TUBA1C,CYCLOPHOSPHAMIDE,24.0
TUBA1B,CYCLOPHOSPHAMIDE,24.0
TUBA1A,CYCLOPHOSPHAMIDE,24.0
SRC,CYCLOPHOSPHAMIDE,24.0
TUBB8,CYCLOPHOSPHAMIDE,24.0
TUBB6,CYCLOPHOSPHAMIDE,24.0
TUBA4A,CYCLOPHOSPHAMIDE,24.0
TUBB2A,CYCLOPHOSPHAMIDE,24.0
TUBB2B,CYCLOPHOSPHAMIDE,24.0
TUBB4B,CYCLOPHOSPHAMIDE,24.0
TUBB3,CYCLOPHOSPHAMIDE,27.0
YES1,CYCLOPHOSPHAMIDE,27.0
AKT1,CYCLOPHOSPHAMIDE,33.0
TUBB1,CYCLOPHOSPHAMIDE,33.0
MET,CYCLOPHOSPHAMIDE,42.0
PTEN,CYCLOPHOSPHAMIDE,57.0
TYMS,CYCLOPHOSPHAMIDE,63.0
PIK3CA,CYCLOPHOSPHAMIDE,75.0
KRAS,CYCLOPHOSPHAMIDE,87.0
ACTB,PEMETREXED,3.0
PRKD3,PEMETREXED,3.0
AKT2,PEMETREXED,6.0
UGT1A4,PEMETREXED,6.0
UGT1A5,PEMETREXED,6.0
SFTPA1,PEMETREXED,6.0
PTPRC,PEMETREXED,6.0
TSC1,PEMETREXED,6.0
PIK3CB,PEMETREXED,6.0
BTK,PEMETREXED,6.0
LIMK1,PEMETREXED,9.0
UGT1A8,PEMETREXED,9.0
UGT1A6,PEMETREXED,9.0
PIK3R2,PEMETREXED,9.0
ATXN2,PEMETREXED,9.0
FYN,PEMETREXED,12.0
ATP7A,PEMETREXED,12.0
NQO1,PEMETREXED,15.0
PIK3CG,PEMETREXED,15.0
JAK2,PEMETREXED,15.0
LCK,PEMETREXED,15.0
TUBA3C,PEMETREXED,18.0
NRAS,PEMETREXED,18.0
MTOR,PEMETREXED,18.0
TUBB4A,PEMETREXED,18.0
LYN,PEMETREXED,21.0
HRAS,PEMETREXED,24.0
UGT1A1,PEMETREXED,24.0
TUBA3E,PEMETREXED,24.0
TUBA3D,PEMETREXED,24.0
TUBA1C,PEMETREXED,24.0
TUBA1B,PEMETREXED,24.0
TUBA1A,PEMETREXED,24.0
SRC,PEMETREXED,24.0
TUBB8,PEMETREXED,24.0
TUBB6,PEMETREXED,24.0
TUBA4A,PEMETREXED,24.0
TUBB2A,PEMETREXED,24.0
TUBB2B,PEMETREXED,24.0
TUBB4B,PEMETREXED,24.0
TUBB3,PEMETREXED,27.0
YES1,PEMETREXED,27.0
AKT1,PEMETREXED,33.0
TUBB1,PEMETREXED,33.0
MET,PEMETREXED,42.0
PTEN,PEMETREXED,57.0
TYMS,PEMETREXED,63.0
PIK3CA,PEMETREXED,75.0
KRAS,PEMETREXED,87.0
ACTB,TACROLIMUS,3.0
PRKD3,TACROLIMUS,3.0
AKT2,TACROLIMUS,6.0
UGT1A4,TACROLIMUS,6.0
UGT1A5,TACROLIMUS,6.0
SFTPA1,TACROLIMUS,6.0
PTPRC,TACROLIMUS,6.0
TSC1,TACROLIMUS,6.0
PIK3CB,TACROLIMUS,6.0
BTK,TACROLIMUS,6.0
LIMK1,TACROLIMUS,9.0
UGT1A8,TACROLIMUS,9.0
UGT1A6,TACROLIMUS,9.0
PIK3R2,TACROLIMUS,9.0
ATXN2,TACROLIMUS,9.0
FYN,TACROLIMUS,12.0
ATP7A,TACROLIMUS,12.0
NQO1,TACROLIMUS,15.0
PIK3CG,TACROLIMUS,15.0
JAK2,TACROLIMUS,15.0
LCK,TACROLIMUS,15.0
TUBA3C,TACROLIMUS,18.0
NRAS,TACROLIMUS,18.0
MTOR,TACROLIMUS,18.0
TUBB4A,TACROLIMUS,18.0
LYN,TACROLIMUS,21.0
HRAS,TACROLIMUS,24.0
UGT1A1,TACROLIMUS,24.0
TUBA3E,TACROLIMUS,24.0
TUBA3D,TACROLIMUS,24.0
TUBA1C,TACROLIMUS,24.0
TUBA1B,TACROLIMUS,24.0
TUBA1A,TACROLIMUS,24.0
SRC,TACROLIMUS,24.0
TUBB8,TACROLIMUS,24.0
TUBB6,TACROLIMUS,24.0
TUBA4A,TACROLIMUS,24.0
TUBB2A,TACROLIMUS,24.0
TUBB2B,TACROLIMUS,24.0
TUBB4B,TACROLIMUS,24.0
TUBB3,TACROLIMUS,27.0
YES1,TACROLIMUS,27.0
AKT1,TACROLIMUS,33.0
TUBB1,TACROLIMUS,33.0
MET,TACROLIMUS,42.0
PTEN,TACROLIMUS,57.0
TYMS,TACROLIMUS,63.0
PIK3CA,TACROLIMUS,75.0
KRAS,TACROLIMUS,87.0
ACTB,BORTEZOMIB,4.0
PRKD3,BORTEZOMIB,4.0
AKT2,BORTEZOMIB,8.0
UGT1A4,BORTEZOMIB,8.0
UGT1A5,BORTEZOMIB,8.0
SFTPA1,BORTEZOMIB,8.0
PTPRC,BORTEZOMIB,8.0
TSC1,BORTEZOMIB,8.0
PIK3CB,BORTEZOMIB,8.0
BTK,BORTEZOMIB,8.0
LIMK1,BORTEZOMIB,12.0
UGT1A8,BORTEZOMIB,12.0
UGT1A6,BORTEZOMIB,12.0
PIK3R2,BORTEZOMIB,12.0
ATXN2,BORTEZOMIB,12.0
FYN,BORTEZOMIB,16.0
ATP7A,BORTEZOMIB,16.0
NQO1,BORTEZOMIB,20.0
PIK3CG,BORTEZOMIB,20.0
JAK2,BORTEZOMIB,20.0
LCK,BORTEZOMIB,20.0
TUBA3C,BORTEZOMIB,24.0
NRAS,BORTEZOMIB,24.0
MTOR,BORTEZOMIB,24.0
TUBB4A,BORTEZOMIB,24.0
LYN,BORTEZOMIB,28.0
HRAS,BORTEZOMIB,32.0
UGT1A1,BORTEZOMIB,32.0
TUBA3E,BORTEZOMIB,32.0
TUBA3D,BORTEZOMIB,32.0
TUBA1C,BORTEZOMIB,32.0
TUBA1B,BORTEZOMIB,32.0
TUBA1A,BORTEZOMIB,32.0
SRC,BORTEZOMIB,32.0
TUBB8,BORTEZOMIB,32.0
TUBB6,BORTEZOMIB,32.0
TUBA4A,BORTEZOMIB,32.0
TUBB2A,BORTEZOMIB,32.0
TUBB2B,BORTEZOMIB,32.0
TUBB4B,BORTEZOMIB,32.0
TUBB3,BORTEZOMIB,36.0
YES1,BORTEZOMIB,36.0
AKT1,BORTEZOMIB,44.0
TUBB1,BORTEZOMIB,44.0
MET,BORTEZOMIB,56.0
PTEN,BORTEZOMIB,76.0
TYMS,BORTEZOMIB,84.0
PIK3CA,BORTEZOMIB,100.0
KRAS,BORTEZOMIB,116.0
ACTB,STREPTOZOCIN,4.0
PRKD3,STREPTOZOCIN,4.0
AKT2,STREPTOZOCIN,8.0
UGT1A4,STREPTOZOCIN,8.0
UGT1A5,STREPTOZOCIN,8.0
SFTPA1,STREPTOZOCIN,8.0
PTPRC,STREPTOZOCIN,8.0
TSC1,STREPTOZOCIN,8.0
PIK3CB,STREPTOZOCIN,8.0
BTK,STREPTOZOCIN,8.0
LIMK1,STREPTOZOCIN,12.0
UGT1A8,STREPTOZOCIN,12.0
UGT1A6,STREPTOZOCIN,12.0
PIK3R2,STREPTOZOCIN,12.0
ATXN2,STREPTOZOCIN,12.0
FYN,STREPTOZOCIN,16.0
ATP7A,STREPTOZOCIN,16.0
NQO1,STREPTOZOCIN,20.0
